Team;TS%;eFG%;Total S%;ORB%;DRB%;TRB%;AST%;TOV%;STL%;BLK%;PPS;FIC40;ORtg;DRtg;eDiff;Poss;Pace;Season
Golden State;.596;.565;167.6;22.5;77.1;51.0;66.8;12.6;7.5;11.1;1.3;81.4;115.9;109.5;6.4;8325.9;100.9;2018-2019
Toronto;.579;.543;164.4;21.9;77.1;50.2;60.3;12.4;8.2;9.1;1.3;74.4;113.1;107.1;6.0;8295.5;100.1;2018-2019
Utah;.572;.538;156.0;22.9;80.3;52.1;64.4;13.4;8.0;9.7;1.3;73.9;110.9;105.7;5.2;8256.9;100.3;2018-2019
Houston;.581;.542;159.5;22.8;74.4;48.1;54.1;12.0;8.7;8.7;1.3;69.2;115.5;110.7;4.8;8085.1;97.9;2018-2019
Boston;.567;.534;163.2;21.6;77.0;49.3;62.4;11.5;8.6;9.7;1.2;74.8;112.2;107.8;4.4;8212.7;99.6;2018-2019
Portland;.568;.528;164.0;26.6;77.9;52.8;54.4;12.1;6.7;8.4;1.3;72.4;114.7;110.5;4.2;8199.1;99.1;2018-2019
Denver;.558;.527;157.2;26.6;78.0;52.2;65.3;11.9;7.9;8.1;1.2;74.1;113.0;108.9;4.0;8033.9;97.7;2018-2019
Indiana;.561;.530;160.1;21.9;76.2;49.6;62.8;12.4;8.9;9.1;1.2;71.3;109.9;106.5;3.4;8056.8;98.1;2018-2019
Oklahoma City;.545;.514;151.5;26.0;78.2;51.3;54.8;11.7;9.0;9.1;1.2;71.5;110.3;107.0;3.3;8508.3;102.8;2018-2019
Philadelphia;.574;.532;160.2;24.5;78.6;52.3;64.8;12.9;7.2;8.6;1.3;75.6;112.6;110.0;2.6;8386.7;101.6;2018-2019
San Antonio;.572;.534;168.9;21.0;79.4;50.5;58.0;11.0;6.2;8.3;1.3;72.5;112.9;111.2;1.7;8110.8;98.3;2018-2019
L.A. Clippers;.575;.529;165.1;22.0;76.0;49.9;58.2;12.7;6.7;7.7;1.3;70.1;112.4;111.5;0.8;8403.8;101.7;2018-2019
Orlando;.550;.518;159.1;22.0;79.7;50.4;63.2;11.9;6.7;9.4;1.2;70.4;108.9;108.1;0.7;8083.4;98.1;2018-2019
Brooklyn;.556;.520;154.6;23.8;76.4;50.2;59.2;13.0;6.4;6.7;1.3;67.1;109.6;109.7;-0.1;8395.5;100.8;2018-2019
Miami;.542;.515;149.4;24.8;77.6;51.2;61.2;13.1;7.8;10.2;1.2;67.6;107.3;107.6;-0.2;8075.7;98.2;2018-2019
Detroit;.544;.509;153.5;24.8;78.7;50.7;57.9;12.3;7.1;7.1;1.2;63.9;109.0;109.2;-0.2;8054.8;97.4;2018-2019
Sacramento;.554;.524;156.7;23.1;75.5;48.6;58.8;11.5;8.0;7.9;1.2;72.1;110.4;111.5;-1.1;8478.6;103.1;2018-2019
Charlotte;.554;.514;159.6;21.7;77.1;48.9;57.8;10.9;7.3;8.9;1.2;69.3;111.4;112.5;-1.1;8155.1;98.7;2018-2019
New Orleans;.563;.529;157.8;24.1;76.8;50.8;61.9;12.6;7.2;9.1;1.3;74.9;111.4;112.6;-1.3;8500.9;103.3;2018-2019
Dallas;.555;.519;153.0;22.7;77.5;50.3;60.3;12.7;6.5;7.6;1.3;66.9;109.4;110.7;-1.3;8156.6;99.0;2018-2019
Minnesota;.552;.511;159.4;24.6;74.9;49.5;59.1;11.4;8.3;8.9;1.2;71.1;111.4;112.9;-1.5;8275.7;100.2;2018-2019
L.A. Lakers;.554;.527;150.3;22.2;76.4;49.9;60.0;13.4;7.3;9.1;1.2;70.5;107.8;109.5;-1.7;8501.5;103.2;2018-2019
Memphis;.548;.508;156.4;20.0;77.6;48.3;63.1;12.9;8.6;10.7;1.2;64.3;106.1;108.8;-2.7;8000.1;96.6;2018-2019
Washington;.567;.531;157.7;21.3;74.1;47.3;62.3;12.3;8.1;8.0;1.3;71.1;111.1;113.9;-2.8;8417.5;101.4;2018-2019
Atlanta;.555;.522;155.5;24.7;76.4;50.0;62.4;14.3;7.9;9.1;1.2;69.1;108.2;113.9;-5.7;8593.4;103.9;2018-2019
Chicago;.541;.505;158.8;19.4;77.3;48.0;55.0;12.7;7.4;7.6;1.2;61.7;104.8;113.2;-8.4;8208.6;99.0;2018-2019
New York;.529;.490;153.1;22.1;76.1;48.5;52.5;12.4;6.8;9.0;1.2;60.6;104.5;113.7;-9.2;8208.4;99.6;2018-2019
Phoenix;.552;.514;156.7;20.5;72.5;46.1;59.5;13.8;8.8;8.8;1.2;63.2;105.9;115.1;-9.2;8326.8;100.5;2018-2019
Cleveland;.540;.503;159.1;23.7;77.0;49.2;53.2;12.2;6.7;4.3;1.2;59.6;107.7;117.6;-9.9;7955.0;96.6;2018-2019
Houston;.590;.551;160.2;21.3;79.9;50.8;55.7;12.9;8.7;8.4;1.3;71.1;114.5;105.9;8.6;8044.9;97.7;2017-2018
Toronto;.575;.539;162.4;23.0;77.7;50.9;59.0;12.3;7.8;10.1;1.3;71.9;113.6;105.7;7.9;8061.3;97.6;2017-2018
Golden State;.603;.569;170.9;21.0;76.3;50.6;68.5;14.3;8.0;12.3;1.3;79.8;113.5;107.5;6.0;8198.1;99.7;2017-2018
Utah;.564;.527;160.6;21.5;79.8;51.0;58.6;13.7;9.0;9.0;1.3;66.7;108.4;103.9;4.5;7877.8;95.7;2017-2018
Philadelphia;.568;.535;159.2;25.3;78.6;52.9;66.3;14.8;8.2;8.8;1.3;72.4;109.2;104.7;4.5;8247.7;100.1;2017-2018
Boston;.552;.518;159.8;21.5;78.4;50.3;58.6;13.2;7.6;7.9;1.2;64.8;107.2;103.5;3.7;7955.8;96.4;2017-2018
Oklahoma City;.546;.514;152.3;27.7;77.4;51.7;53.5;12.5;9.3;9.4;1.2;66.9;110.5;107.0;3.5;8004.9;96.9;2017-2018
San Antonio;.543;.507;158.2;23.7;78.6;51.0;58.3;12.3;8.0;9.7;1.2;67.2;107.7;104.7;3.0;7820.5;95.1;2017-2018
Portland;.549;.511;161.8;23.3;79.1;51.4;49.6;12.5;7.2;8.7;1.2;64.3;108.9;106.2;2.7;7951.6;96.6;2017-2018
Minnesota;.566;.523;163.7;24.4;76.4;50.1;55.3;11.5;8.7;7.6;1.3;69.2;113.2;110.9;2.3;7933.2;96.1;2017-2018
Denver;.570;.536;160.8;25.7;77.5;51.7;61.7;13.5;7.8;8.5;1.3;71.0;112.3;110.8;1.5;8028.9;96.9;2017-2018
Indiana;.557;.525;162.0;22.7;76.2;49.6;54.4;12.5;9.1;7.6;1.2;66.3;109.0;107.6;1.4;7938.0;96.4;2017-2018
New Orleans;.573;.541;161.7;20.0;76.7;49.4;62.7;13.5;7.8;9.6;1.3;73.2;109.2;108.0;1.3;8386.9;100.9;2017-2018
Cleveland;.584;.547;162.8;20.1;77.3;49.1;57.9;12.8;7.2;6.7;1.3;69.3;112.7;111.7;1.0;8067.8;98.1;2017-2018
Washington;.560;.525;161.3;23.5;77.1;50.3;63.1;13.4;8.0;7.8;1.2;67.0;109.1;108.5;0.6;8009.9;96.8;2017-2018
Miami;.551;.520;157.1;21.5;79.0;50.2;58.5;13.4;7.8;9.3;1.2;64.2;106.7;106.2;0.5;7951.0;95.7;2017-2018
Charlotte;.549;.508;156.6;22.2;80.7;51.0;55.4;11.6;6.9;7.9;1.2;67.3;109.2;108.9;0.3;8127.8;98.6;2017-2018
L.A. Clippers;.564;.527;156.8;23.5;76.1;50.2;55.5;13.3;7.8;7.9;1.3;67.0;110.1;110.1;0.0;8113.5;98.8;2017-2018
Detroit;.543;.512;156.8;22.7;78.5;50.0;58.2;12.4;7.9;7.1;1.2;64.6;107.0;107.1;-0.2;7952.4;96.4;2017-2018
Milwaukee;.571;.531;161.6;20.4;75.9;48.3;58.5;12.9;9.1;9.6;1.3;66.5;109.8;110.1;-0.3;7950.5;96.2;2017-2018
L.A. Lakers;.548;.517;151.9;23.6;77.7;50.9;58.4;14.0;7.6;7.9;1.2;66.0;106.3;107.9;-1.5;8333.2;100.5;2017-2018
Dallas;.544;.513;156.7;18.0;78.9;47.4;59.4;11.7;7.3;7.0;1.2;62.4;106.2;109.3;-3.2;7900.7;95.7;2017-2018
New York;.544;.510;160.2;24.1;76.7;50.5;57.3;13.4;6.9;9.2;1.2;63.9;106.9;110.6;-3.6;8012.5;97.0;2017-2018
