Team;GP;MPG;PPG;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;ORB;DRB;RPG;APG;SPG;BPG;TOV;PF;Season
Utah;82;48.1;101.2;40.6;83.2;.488;0.5;2.0;.258;19.5;25.4;.767;11.7;28.4;40.1;23.8;7.8;4.7;17.4;25.7;1980-1981
Detroit;82;48.2;99.7;39.5;85.2;.463;0.2;1.0;.155;20.6;28.4;.725;14.6;25.7;40.4;22.2;10.8;6.0;21.5;25.9;1980-1981
San Antonio;82;48.2;119.4;47.0;94.4;.498;0.6;2.5;.252;24.7;30.8;.801;14.1;30.7;44.7;28.4;9.4;4.1;19.4;25.6;1979-1980
L.A. Lakers;82;48.5;115.1;47.5;89.9;.529;0.2;1.2;.200;19.8;25.5;.775;13.2;32.4;45.6;29.4;9.4;6.7;20.0;21.8;1979-1980
Cleveland;82;48.6;114.1;46.5;98.1;.474;0.4;2.3;.193;20.8;26.9;.772;15.9;29.0;45.0;25.7;9.3;4.2;16.7;23.6;1979-1980
New York;82;48.2;114.0;46.4;93.6;.496;0.5;2.3;.220;20.7;27.7;.747;15.1;28.1;43.2;27.6;10.7;5.6;19.7;26.4;1979-1980
Boston;82;48.5;113.5;44.1;90.1;.490;2.0;5.1;.384;23.3;29.9;.779;15.0;30.0;44.9;26.8;9.9;3.8;18.8;24.1;1979-1980
Indiana;82;48.4;111.2;44.4;93.8;.473;1.1;3.8;.280;21.4;28.5;.751;17.0;28.4;45.4;26.2;11.0;6.5;18.5;24.1;1979-1980
Phoenix;82;48.2;111.1;43.5;88.2;.493;0.8;3.4;.243;23.2;30.1;.773;13.1;30.0;43.0;27.8;11.1;4.2;19.9;22.6;1979-1980
Houston;82;48.6;110.8;43.9;91.4;.480;1.3;4.6;.274;21.7;28.4;.766;17.0;27.0;44.0;26.2;9.5;4.5;19.1;23.5;1979-1980
Milwaukee;82;48.3;110.1;44.9;92.1;.488;0.6;1.9;.323;19.6;25.6;.764;15.2;29.2;44.4;27.8;9.5;6.2;18.2;23.6;1979-1980
Philadelphia;82;48.4;109.1;43.0;87.3;.492;0.3;1.5;.216;22.9;29.6;.772;14.5;32.1;46.6;27.1;9.7;8.0;20.8;22.7;1979-1980
Detroit;82;48.2;108.9;44.4;92.6;.480;0.7;2.7;.260;19.4;26.2;.740;15.0;29.5;44.4;23.8;9.5;6.9;21.2;25.2;1979-1980
Seattle;82;48.4;108.5;43.3;92.3;.470;0.7;2.3;.312;21.1;27.5;.768;16.8;31.1;47.9;24.9;9.1;5.2;18.2;22.7;1979-1980
New Jersey;82;48.3;108.3;42.1;91.5;.461;1.0;3.6;.285;23.0;29.3;.782;15.0;30.9;45.9;25.5;10.6;7.1;20.8;26.6;1979-1980
Denver;82;48.4;108.3;42.2;91.1;.463;1.0;3.1;.325;22.8;31.0;.737;16.0;30.8;46.8;25.4;9.1;4.9;18.7;23.4;1979-1980
Kansas City;82;48.3;108.0;43.7;91.3;.478;0.3;1.4;.219;20.4;27.4;.743;14.5;29.6;44.1;25.9;10.5;4.3;17.5;26.0;1979-1980
San Diego;82;48.2;107.6;43.0;91.4;.470;2.2;6.6;.326;19.5;26.4;.736;15.8;28.1;43.9;20.6;8.1;3.5;17.6;23.1;1979-1980
Chicago;82;48.5;107.5;41.0;84.7;.484;0.9;3.4;.255;24.6;31.6;.779;13.6;30.1;43.7;26.2;8.6;4.8;20.5;26.2;1979-1980
Washington;82;48.5;107.0;43.6;95.1;.458;0.9;2.9;.307;18.9;25.0;.758;16.3;33.2;49.5;26.8;6.5;5.4;16.8;23.1;1979-1980
Atlanta;82;48.2;104.5;39.8;85.7;.464;0.2;0.9;.173;24.9;32.3;.771;16.7;29.3;46.0;23.3;9.5;6.6;18.2;28.0;1979-1980
Golden State;82;48.5;103.6;43.0;89.2;.482;0.3;1.5;.223;17.2;23.3;.738;14.1;29.7;43.8;24.7;9.5;4.1;18.2;25.4;1979-1980
Portland;82;48.2;102.5;41.6;87.4;.476;0.3;1.6;.197;19.0;25.6;.743;15.8;29.4;45.2;23.1;8.6;5.8;18.9;23.9;1979-1980
Utah;82;48.3;102.4;41.2;83.1;.496;0.7;2.3;.319;19.2;23.7;.809;11.8;28.8;40.6;24.5;8.0;4.4;18.8;24.5;1979-1980
San Antonio;82;48.4;119.3;47.9;94.6;.506;NA;NA;NA;23.5;29.5;.795;13.4;31.9;45.3;28.2;10.1;6.2;20.1;25.3;1978-1979
Phoenix;82;48.2;115.4;46.9;91.7;.512;NA;NA;NA;21.5;28.0;.768;13.2;29.0;42.2;30.5;11.2;4.1;21.5;23.7;1978-1979
Washington;82;48.2;114.9;46.6;96.0;.485;NA;NA;NA;21.8;29.6;.735;16.0;33.8;49.7;26.5;7.5;4.9;17.3;22.0;1978-1979
Milwaukee;82;48.5;114.1;47.6;94.8;.503;NA;NA;NA;18.8;24.6;.762;14.1;28.9;43.0;31.2;10.5;5.3;19.2;25.7;1978-1979
Houston;82;48.2;113.4;45.4;91.4;.497;NA;NA;NA;22.5;28.4;.792;15.3;30.5;45.9;28.1;7.7;3.5;18.4;24.4;1978-1979
San Diego;82;48.1;113.1;45.4;94.0;.483;NA;NA;NA;22.4;30.1;.743;17.0;29.4;46.4;18.8;8.6;4.8;19.8;25.9;1978-1979
Kansas City;82;48.4;113.1;45.9;93.2;.492;NA;NA;NA;21.3;29.2;.730;14.5;29.3;43.8;27.3;10.1;4.8;19.9;29.5;1978-1979
L.A. Lakers;82;48.2;112.9;46.7;90.2;.517;NA;NA;NA;19.6;25.5;.769;11.6;31.2;42.8;28.5;9.7;6.1;19.1;22.6;1978-1979
Denver;82;48.1;110.7;42.9;89.2;.481;NA;NA;NA;25.0;34.6;.720;15.9;31.7;47.6;26.4;8.2;5.1;20.3;25.7;1978-1979
Detroit;82;48.2;110.0;45.2;95.1;.475;NA;NA;NA;19.6;27.3;.717;15.9;29.0;44.9;25.5;10.3;6.7;19.5;26.1;1978-1979
Philadelphia;82;48.3;109.5;43.7;89.5;.488;NA;NA;NA;22.1;29.4;.753;14.0;33.1;47.1;27.5;9.5;7.3;21.6;25.3;1978-1979
Atlanta;82;48.4;109.1;42.7;90.4;.473;NA;NA;NA;23.7;30.9;.766;16.8;28.5;45.4;23.6;9.8;7.3;18.6;29.6;1978-1979
Indiana;82;48.1;108.6;43.6;91.8;.475;NA;NA;NA;21.5;28.3;.759;14.9;30.9;45.8;24.5;8.4;5.1;18.7;25.5;1978-1979
Portland;82;48.2;108.4;43.2;89.5;.483;NA;NA;NA;22.0;28.8;.765;15.3;29.7;45.0;23.7;9.5;6.2;20.2;26.7;1978-1979
New Orleans;82;48.1;108.3;42.9;91.6;.468;NA;NA;NA;22.5;29.4;.767;15.0;32.6;47.7;25.4;9.3;6.8;21.5;23.7;1978-1979
Boston;82;48.0;108.2;43.0;89.6;.480;NA;NA;NA;22.2;28.3;.784;13.6;29.2;42.9;24.3;8.7;3.5;20.9;24.1;1978-1979
New Jersey;82;48.2;107.7;42.2;91.7;.460;NA;NA;NA;23.2;31.9;.729;15.1;28.9;44.0;23.3;10.4;7.5;22.7;28.4;1978-1979
New York;82;48.2;107.7;44.8;92.1;.487;NA;NA;NA;18.0;25.7;.700;14.6;29.6;44.3;25.9;8.5;4.8;19.6;26.3;1978-1979
Seattle;82;48.2;106.6;42.7;91.3;.468;NA;NA;NA;21.1;28.0;.754;16.0;31.6;47.6;24.1;8.4;4.9;19.3;23.3;1978-1979
Cleveland;82;48.0;106.5;43.4;92.7;.468;NA;NA;NA;19.8;25.6;.770;15.0;27.5;42.5;21.9;8.4;4.1;16.8;24.7;1978-1979
Golden State;82;48.2;105.1;44.2;90.9;.487;NA;NA;NA;16.7;22.8;.730;14.3;30.6;44.9;25.2;9.4;5.1;18.3;24.7;1978-1979
Chicago;82;48.2;104.7;42.4;86.7;.489;NA;NA;NA;19.9;26.6;.747;14.9;31.0;46.0;26.5;7.0;4.0;22.1;24.0;1978-1979
Philadelphia;82;48.4;114.7;44.2;91.1;.486;NA;NA;NA;26.3;34.9;.752;15.8;32.9;48.7;27.1;9.8;6.7;21.4;26.7;1977-1978
San Antonio;82;48.2;114.5;46.3;92.6;.500;NA;NA;NA;21.9;27.2;.804;12.6;31.6;44.2;27.3;9.7;6.7;20.3;22.8;1977-1978
New York;82;48.8;113.4;46.5;95.4;.488;NA;NA;NA;20.4;27.1;.751;14.4;32.8;47.2;28.5;10.0;5.4;21.5;26.7;1977-1978
Milwaukee;82;48.7;112.4;46.4;96.1;.482;NA;NA;NA;19.7;27.1;.726;15.1;30.2;45.4;28.1;10.6;5.8;20.5;24.9;1977-1978
Phoenix;82;48.2;112.3;45.5;95.6;.476;NA;NA;NA;21.3;28.4;.751;14.2;31.5;45.7;28.5;12.9;4.5;21.5;23.9;1977-1978
Denver;82;48.4;111.8;43.3;90.7;.477;NA;NA;NA;25.2;33.0;.765;14.4;33.4;47.7;26.7;10.0;5.1;21.3;25.8;1977-1978
Washington;82;48.4;110.3;43.7;94.8;.461;NA;NA;NA;23.0;32.4;.711;16.5;34.3;50.8;23.8;8.1;4.7;19.7;22.9;1977-1978
L.A. Lakers;82;48.3;110.3;45.5;93.6;.487;NA;NA;NA;19.2;25.5;.752;13.9;32.3;46.1;27.2;9.8;5.0;18.9;24.0;1977-1978
Kansas City;82;48.4;109.5;43.9;94.3;.466;NA;NA;NA;21.6;27.6;.785;14.7;32.1;46.8;24.3;9.7;4.5;20.6;27.2;1977-1978
Detroit;82;48.4;109.0;43.3;90.5;.478;NA;NA;NA;22.3;30.4;.736;15.0;31.7;46.7;22.4;10.6;4.0;22.7;24.1;1977-1978
Indiana;82;48.4;108.6;42.7;94.9;.450;NA;NA;NA;23.2;31.3;.743;16.9;32.0;48.9;24.2;9.9;5.6;20.0;27.2;1977-1978
Portland;82;48.1;107.7;43.4;89.8;.483;NA;NA;NA;20.9;27.5;.760;14.5;32.8;47.2;25.2;9.7;4.8;19.8;25.2;1977-1978
New Orleans;82;48.2;107.6;43.5;94.1;.462;NA;NA;NA;20.6;28.4;.725;16.0;35.5;51.4;25.4;8.1;6.3;20.7;23.6;1977-1978
New Jersey;82;48.5;106.7;43.3;97.6;.443;NA;NA;NA;20.1;28.1;.717;15.9;31.6;47.6;22.9;10.5;7.7;21.6;28.2;1977-1978
Golden State;82;48.2;106.1;43.6;93.3;.467;NA;NA;NA;18.9;25.4;.745;14.4;32.1;46.5;25.6;10.6;4.9;18.5;25.8;1977-1978
Boston;82;48.4;105.7;42.6;93.1;.458;NA;NA;NA;20.5;26.3;.779;15.1;34.8;49.8;24.0;7.8;3.6;20.1;24.8;1977-1978
Buffalo;82;48.3;105.3;41.6;89.3;.466;NA;NA;NA;22.0;28.2;.781;13.2;31.0;44.2;24.1;7.9;4.0;19.2;24.6;1977-1978
Seattle;82;48.2;104.5;42.0;94.1;.447;NA;NA;NA;20.4;28.7;.712;17.8;31.7;49.5;21.9;9.5;5.2;20.0;24.5;1977-1978
Cleveland;82;48.5;104.4;42.6;94.0;.454;NA;NA;NA;19.1;25.8;.741;14.5;32.6;47.1;21.2;8.4;5.5;16.9;22.3;1977-1978
Chicago;82;48.2;103.9;40.6;85.9;.473;NA;NA;NA;22.7;30.1;.754;15.2;31.4;46.6;25.8;8.1;3.9;20.3;23.5;1977-1978
Houston;82;48.1;103.8;43.0;93.8;.458;NA;NA;NA;17.9;23.1;.774;15.9;29.5;45.4;23.7;8.3;3.9;16.8;24.7;1977-1978
Atlanta;82;48.4;103.7;40.7;88.5;.460;NA;NA;NA;22.4;28.2;.793;14.1;28.8;42.9;23.2;11.2;5.0;19.4;30.1;1977-1978
San Antonio;82;48.2;115.0;45.3;93.4;.485;NA;NA;NA;24.5;30.8;.797;13.5;31.1;44.6;25.8;10.5;6.1;21.6;24.0;1976-1977
Denver;82;48.2;112.6;43.8;91.1;.481;NA;NA;NA;25.0;33.9;.738;15.7;32.9;48.6;27.6;11.6;5.7;24.5;26.1;1976-1977
Portland;82;48.1;111.7;44.2;91.9;.481;NA;NA;NA;23.4;30.7;.762;15.4;33.0;48.3;24.3;10.6;6.0;21.4;27.1;1976-1977
Golden State;82;48.2;110.9;45.4;95.5;.475;NA;NA;NA;20.1;26.5;.759;15.9;32.2;48.0;25.9;11.0;5.3;19.8;25.1;1976-1977
Philadelphia;82;48.2;110.2;42.8;89.3;.480;NA;NA;NA;24.5;33.3;.736;15.8;33.6;49.3;24.0;9.9;6.8;23.4;25.3;1976-1977
Detroit;82;48.1;109.4;45.9;95.0;.483;NA;NA;NA;17.6;23.9;.736;14.3;30.4;44.7;24.4;10.7;5.6;21.0;26.8;1976-1977
New York;82;48.2;108.6;44.6;91.8;.486;NA;NA;NA;19.4;25.3;.764;11.9;32.7;44.6;23.9;8.7;3.7;20.5;24.5;1976-1977
Milwaukee;82;48.1;108.4;44.7;95.6;.468;NA;NA;NA;18.9;25.3;.750;14.9;30.7;45.6;24.0;9.6;4.2;20.1;25.5;1976-1977
Kansas City;82;48.4;107.7;43.4;94.3;.460;NA;NA;NA;20.8;26.1;.797;14.9;31.6;46.5;24.2;10.4;4.7;19.2;26.5;1976-1977
L.A. Lakers;82;48.3;106.9;44.7;93.4;.478;NA;NA;NA;17.5;23.7;.740;14.4;32.0;46.4;25.1;9.8;5.4;18.8;22.8;1976-1977
Indiana;82;48.2;106.8;43.0;95.6;.449;NA;NA;NA;20.9;28.0;.746;17.2;31.5;48.7;24.5;11.3;5.6;19.6;24.8;1976-1977
Houston;82;48.2;106.4;43.1;89.3;.483;NA;NA;NA;20.2;25.6;.787;15.3;32.1;47.4;23.3;7.5;5.0;19.5;26.0;1976-1977
Washington;82;48.1;105.5;42.9;91.2;.470;NA;NA;NA;19.8;27.6;.716;14.5;33.6;48.1;23.6;7.8;5.3;20.5;23.7;1976-1977
Buffalo;82;48.1;105.0;41.0;91.2;.450;NA;NA;NA;22.9;30.4;.754;14.8;32.0;46.8;23.0;8.3;4.8;20.7;22.5;1976-1977
Phoenix;82;48.1;104.9;41.5;88.4;.470;NA;NA;NA;21.8;28.6;.764;12.9;30.4;43.3;25.6;9.1;4.2;22.3;25.5;1976-1977
New Orleans;82;48.2;104.6;42.0;92.7;.453;NA;NA;NA;20.6;26.6;.773;15.2;34.5;49.7;22.6;7.5;4.4;20.8;25.6;1976-1977
Boston;82;48.4;104.5;42.2;94.8;.445;NA;NA;NA;20.1;26.6;.756;15.1;36.2;51.3;24.5;6.2;3.2;20.4;24.9;1976-1977
Seattle;82;48.3;104.0;41.9;93.2;.450;NA;NA;NA;20.1;29.1;.690;16.5;29.7;46.2;21.6;11.4;6.1;21.5;26.8;1976-1977
Atlanta;82;48.1;102.4;40.0;87.5;.457;NA;NA;NA;22.4;29.9;.749;15.2;30.6;45.8;23.0;8.9;4.0;21.7;28.1;1976-1977
Cleveland;82;48.2;102.1;42.1;93.8;.449;NA;NA;NA;17.9;24.3;.737;16.0;31.3;47.3;22.5;7.1;5.8;16.5;23.8;1976-1977
Chicago;82;48.3;98.9;39.6;87.6;.452;NA;NA;NA;19.7;26.3;.747;15.8;33.0;48.7;24.3;8.5;4.4;18.9;22.8;1976-1977
New York;82;48.1;95.9;37.8;88.1;.429;NA;NA;NA;20.4;27.7;.736;14.1;31.1;45.2;17.3;9.8;5.3;19.9;26.6;1976-1977
Golden State;82;48.4;109.8;45.0;97.3;.462;NA;NA;NA;19.8;26.3;.751;16.5;35.5;52.0;24.9;11.3;5.1;19.7;24.7;1975-1976
Buffalo;82;48.1;107.3;42.5;89.1;.476;NA;NA;NA;22.4;28.9;.774;12.2;33.2;45.4;25.8;8.8;4.5;21.3;24.6;1975-1976
L.A. Lakers;82;48.1;106.9;43.3;93.0;.465;NA;NA;NA;20.4;26.4;.772;13.8;35.0;48.8;23.6;8.2;6.4;19.7;24.7;1975-1976
Philadelphia;82;48.4;106.5;42.2;94.5;.447;NA;NA;NA;22.1;30.1;.733;16.9;32.7;49.6;20.2;9.9;4.5;21.1;26.7;1975-1976
Seattle;82;48.2;106.4;43.2;94.3;.458;NA;NA;NA;20.0;28.2;.711;14.8;30.5;45.3;23.6;10.6;4.3;19.7;26.0;1975-1976
Boston;82;48.2;106.2;43.0;96.4;.446;NA;NA;NA;20.2;25.9;.780;16.7;36.2;52.9;24.1;6.8;3.2;19.6;24.4;1975-1976
Houston;82;48.2;106.2;43.2;89.1;.485;NA;NA;NA;19.7;25.0;.790;12.9;32.2;45.2;27.0;8.0;4.4;20.3;24.9;1975-1976
Phoenix;82;48.5;105.1;41.7;88.4;.472;NA;NA;NA;21.7;28.5;.762;13.5;31.2;44.7;25.4;10.4;4.3;22.6;24.6;1975-1976
Detroit;82;48.2;104.9;43.0;92.7;.464;NA;NA;NA;19.0;25.0;.760;14.7;31.0;45.7;21.4;9.6;4.0;19.7;25.4;1975-1976
New Orleans;82;48.5;104.1;40.9;91.4;.447;NA;NA;NA;22.3;29.5;.758;14.5;33.9;48.4;21.5;9.1;4.2;20.2;26.5;1975-1976
Portland;82;48.1;104.1;41.7;88.9;.469;NA;NA;NA;20.7;28.7;.723;13.6;34.7;48.3;25.5;9.5;5.0;22.8;25.5;1975-1976
Kansas City;82;48.2;103.3;40.7;90.0;.453;NA;NA;NA;21.9;28.5;.767;13.8;32.5;46.4;22.7;9.2;4.0;19.6;25.1;1975-1976
Washington;82;48.5;102.8;41.7;88.2;.472;NA;NA;NA;19.5;27.0;.720;12.4;34.3;46.7;22.2;8.5;5.9;20.4;23.4;1975-1976
New York;82;48.3;102.7;42.0;92.1;.456;NA;NA;NA;18.7;24.2;.772;12.5;33.2;45.7;20.2;7.0;3.2;17.1;24.5;1975-1976
Atlanta;82;48.3;102.6;40.3;89.5;.450;NA;NA;NA;22.1;30.1;.733;14.9;31.0;45.9;20.3;9.6;3.4;18.9;24.2;1975-1976
Milwaukee;82;48.4;101.8;42.1;90.7;.465;NA;NA;NA;17.5;23.8;.736;13.3;32.8;46.1;22.2;8.7;5.7;19.8;24.9;1975-1976
Cleveland;82;48.3;101.7;42.6;94.0;.454;NA;NA;NA;16.4;22.3;.737;14.5;31.6;46.1;22.5;7.8;4.8;16.2;22.8;1975-1976
Chicago;82;48.2;95.9;37.9;91.5;.414;NA;NA;NA;20.1;26.8;.751;16.8;33.2;50.0;20.8;7.6;3.1;17.2;24.1;1975-1976
Golden State;82;48.2;108.5;45.3;97.3;.465;NA;NA;NA;17.9;23.4;.768;17.3;34.8;52.1;25.3;11.9;4.5;20.9;25.7;1974-1975
Buffalo;82;48.1;107.8;43.3;91.1;.476;NA;NA;NA;21.2;27.1;.780;13.5;33.4;46.9;25.2;8.8;5.6;20.9;22.9;1974-1975
Boston;82;48.2;106.5;43.7;95.4;.458;NA;NA;NA;19.0;24.0;.791;16.0;36.0;52.0;26.3;8.1;3.5;19.8;23.3;1974-1975
Atlanta;82;48.3;105.1;41.8;95.4;.438;NA;NA;NA;21.6;29.7;.728;17.6;32.4;49.9;22.9;9.1;2.8;18.9;24.0;1974-1975
Washington;82;48.3;104.7;43.4;93.9;.462;NA;NA;NA;18.0;23.9;.752;13.8;33.7;47.5;24.5;11.3;5.0;19.4;23.9;1974-1975
Houston;82;48.2;103.9;42.0;88.2;.477;NA;NA;NA;19.8;24.8;.799;14.4;30.4;44.8;26.3;9.1;4.3;21.5;25.2;1974-1975
Portland;82;48.5;103.8;41.6;86.7;.480;NA;NA;NA;20.5;27.6;.742;12.8;33.6;46.4;26.9;9.2;4.9;22.4;25.1;1974-1975
L.A. Lakers;82;48.4;103.2;41.6;92.4;.450;NA;NA;NA;20.0;26.6;.752;16.0;33.7;49.7;25.5;9.2;5.2;21.8;25.4;1974-1975
Seattle;82;48.5;103.1;42.5;93.3;.456;NA;NA;NA;18.0;24.0;.749;13.9;31.5;45.4;24.4;10.2;4.6;19.6;24.1;1974-1975
New Orleans;82;48.1;101.5;40.3;91.6;.440;NA;NA;NA;20.9;27.4;.764;14.0;31.9;45.9;22.2;8.8;3.1;22.0;27.1;1974-1975
Kansas City;82;48.1;101.4;39.7;88.5;.449;NA;NA;NA;21.9;26.7;.821;12.1;33.5;45.6;22.6;8.8;4.2;18.8;24.0;1974-1975
Phoenix;82;48.3;101.2;41.2;92.2;.447;NA;NA;NA;18.7;25.4;.737;16.5;32.7;49.2;22.9;8.1;3.9;21.5;25.5;1974-1975
Milwaukee;82;48.3;100.7;42.1;89.8;.468;NA;NA;NA;16.5;21.3;.775;12.5;33.7;46.2;23.6;7.3;4.9;18.8;23.8;1974-1975
New York;82;48.1;100.4;41.0;91.0;.450;NA;NA;NA;18.5;24.0;.772;12.0;32.3;44.3;20.4;8.0;3.7;16.8;24.4;1974-1975
Philadelphia;82;48.3;99.8;40.5;91.2;.445;NA;NA;NA;18.7;24.9;.749;14.6;33.0;47.6;20.8;7.0;3.2;19.4;24.1;1974-1975
Cleveland;82;48.5;99.0;41.6;89.9;.462;NA;NA;NA;15.9;21.4;.742;12.9;30.5;43.4;23.2;7.3;4.2;17.8;22.9;1974-1975
Detroit;82;48.1;98.9;40.1;86.0;.466;NA;NA;NA;18.7;24.1;.776;12.2;30.7;42.9;23.4;8.3;4.6;19.0;22.8;1974-1975
Chicago;82;48.5;98.1;38.6;86.4;.447;NA;NA;NA;20.9;26.9;.777;13.5;34.0;47.5;22.4;8.1;4.6;18.1;23.8;1974-1975
Buffalo;82;48.4;111.6;45.5;94.7;.480;NA;NA;NA;20.7;27.1;.765;14.0;34.5;48.5;26.4;9.6;7.3;22.3;22.9;1973-1974
Golden State;82;48.1;109.9;45.4;97.8;.464;NA;NA;NA;19.1;24.6;.778;16.8;37.0;53.8;24.3;8.1;5.5;20.3;23.1;1973-1974
L.A. Lakers;82;48.2;109.2;43.1;95.2;.453;NA;NA;NA;22.9;29.8;.769;16.6;36.2;52.9;26.6;9.7;8.0;23.3;24.8;1973-1974
Boston;82;48.2;109.0;44.3;97.2;.456;NA;NA;NA;20.5;25.6;.800;16.8;37.5;54.3;26.7;6.8;3.7;21.9;22.8;1973-1974
Atlanta;82;48.2;108.6;43.9;94.4;.465;NA;NA;NA;20.8;27.6;.752;15.1;33.1;48.2;24.3;9.2;4.0;22.2;25.3;1973-1974
Phoenix;82;48.2;107.9;43.4;94.2;.460;NA;NA;NA;21.2;27.3;.777;13.3;33.2;46.5;25.0;8.0;3.7;20.3;25.9;1973-1974
Houston;82;48.4;107.4;43.5;90.6;.480;NA;NA;NA;20.5;25.3;.812;13.0;31.6;44.5;27.0;8.9;5.0;20.5;25.7;1973-1974
Milwaukee;82;48.2;107.1;45.4;92.3;.492;NA;NA;NA;16.2;21.2;.763;13.8;35.1;49.0;27.1;8.9;6.3;20.7;22.7;1973-1974
Seattle;82;48.2;107.0;43.7;98.2;.445;NA;NA;NA;19.6;25.5;.767;16.1;33.0;49.1;25.7;8.4;3.6;19.8;25.3;1973-1974
Portland;82;48.1;106.8;43.7;93.7;.467;NA;NA;NA;19.4;25.8;.753;15.3;31.7;47.0;25.7;9.7;4.2;22.2;25.0;1973-1974
Detroit;82;48.2;104.4;42.1;91.6;.459;NA;NA;NA;20.2;26.4;.764;14.6;32.7;47.3;23.9;9.7;5.1;21.5;23.5;1973-1974
Chicago;82;48.2;102.0;40.1;90.0;.446;NA;NA;NA;21.8;28.2;.771;13.9;31.9;45.8;22.8;9.3;3.9;20.6;22.9;1973-1974
Kansas City;82;48.1;102.0;41.1;89.5;.459;NA;NA;NA;19.9;25.7;.774;13.6;31.1;44.7;21.3;9.7;4.7;21.8;23.4;1973-1974
Washington;82;48.1;101.9;42.4;96.2;.441;NA;NA;NA;17.0;22.8;.745;15.7;35.2;50.9;21.6;8.6;5.4;19.1;21.3;1973-1974
New York;82;48.2;101.3;42.4;91.3;.465;NA;NA;NA;16.5;21.2;.777;11.7;33.2;44.9;23.6;6.8;3.4;17.8;23.0;1973-1974
Philadelphia;82;48.1;101.2;40.6;93.9;.432;NA;NA;NA;19.9;25.8;.771;14.4;32.0;46.4;21.9;9.2;2.7;20.3;24.0;1973-1974
Cleveland;82;48.2;100.3;41.7;94.9;.439;NA;NA;NA;16.8;21.8;.772;15.5;30.4;45.9;25.0;7.3;3.6;18.8;23.5;1973-1974
Houston;82;48.0;112.8;46.0;100.6;.457;NA;NA;NA;20.8;26.2;.793;NA;NA;NA;23.6;NA;NA;NA;23.8;1972-1973
Boston;82;48.1;112.7;46.5;103.8;.448;NA;NA;NA;19.7;25.3;.780;NA;NA;NA;28.3;NA;NA;NA;22.0;1972-1973
Atlanta;82;48.4;112.4;45.1;98.0;.461;NA;NA;NA;22.2;30.3;.733;NA;NA;NA;25.3;NA;NA;NA;23.4;1972-1973
L.A. Lakers;82;48.2;111.7;45.6;95.4;.478;NA;NA;NA;20.5;27.6;.742;NA;NA;NA;28.1;NA;NA;NA;20.0;1972-1973
Phoenix;82;48.2;111.6;44.0;96.9;.455;NA;NA;NA;23.5;29.7;.792;NA;NA;NA;23.7;NA;NA;NA;24.5;1972-1973
Detroit;82;48.2;110.3;44.7;96.5;.463;NA;NA;NA;20.9;28.0;.745;NA;NA;NA;23.0;NA;NA;NA;22.1;1972-1973
Golden State;82;48.1;108.8;45.3;99.5;.455;NA;NA;NA;18.2;22.8;.798;NA;NA;NA;24.2;NA;NA;NA;20.6;1972-1973
Kansas City;82;48.2;107.6;44.2;92.5;.478;NA;NA;NA;19.3;24.8;.776;NA;NA;NA;25.8;NA;NA;NA;25.0;1972-1973
Milwaukee;82;48.2;107.2;45.8;95.2;.481;NA;NA;NA;15.5;20.6;.753;NA;NA;NA;27.1;NA;NA;NA;21.5;1972-1973
Portland;82;48.1;106.2;43.8;95.6;.458;NA;NA;NA;18.7;26.0;.719;NA;NA;NA;25.6;NA;NA;NA;24.0;1972-1973
New York;82;48.1;105.0;44.2;94.7;.467;NA;NA;NA;16.5;21.2;.780;NA;NA;NA;26.7;NA;NA;NA;21.6;1972-1973
Washington;82;48.1;105.0;44.6;96.1;.464;NA;NA;NA;15.8;21.2;.743;NA;NA;NA;25.0;NA;NA;NA;20.4;1972-1973
Philadelphia;82;48.1;104.1;42.3;100.8;.420;NA;NA;NA;19.5;26.0;.750;NA;NA;NA;20.6;NA;NA;NA;24.2;1972-1973
Chicago;82;48.3;104.1;42.4;95.5;.444;NA;NA;NA;19.2;25.3;.759;NA;NA;NA;24.7;NA;NA;NA;22.9;1972-1973
Seattle;82;48.2;103.7;42.0;93.7;.449;NA;NA;NA;19.6;25.4;.772;NA;NA;NA;23.9;NA;NA;NA;22.9;1972-1973
Buffalo;82;48.1;103.3;43.1;96.1;.449;NA;NA;NA;17.1;24.0;.712;NA;NA;NA;27.0;NA;NA;NA;24.8;1972-1973
Cleveland;82;48.4;102.7;41.8;96.1;.435;NA;NA;NA;19.0;25.4;.747;NA;NA;NA;25.7;NA;NA;NA;23.7;1972-1973
L.A. Lakers;82;48.2;121.0;47.8;97.5;.490;NA;NA;NA;25.4;34.5;.734;NA;NA;NA;27.2;NA;NA;NA;20.0;1971-1972
Phoenix;82;48.5;116.3;43.9;96.1;.457;NA;NA;NA;28.5;36.6;.779;NA;NA;NA;24.1;NA;NA;NA;24.7;1971-1972
Boston;82;48.1;115.6;46.6;102.8;.453;NA;NA;NA;22.4;28.9;.777;NA;NA;NA;27.2;NA;NA;NA;24.8;1971-1972
Milwaukee;82;48.2;114.6;46.5;93.3;.498;NA;NA;NA;21.6;29.3;.739;NA;NA;NA;26.3;NA;NA;NA;22.7;1971-1972
Philadelphia;82;48.2;112.2;43.6;98.3;.444;NA;NA;NA;25.0;34.5;.725;NA;NA;NA;23.4;NA;NA;NA;26.9;1971-1972
