Team;Dbl Dbl;Tpl Dbl;40 Pts;20 Reb;20 Ast;5 Stl;5 Blk;High Game;MOV;Techs;HOB;Ast/TO;Stl/TO;FT/FGA;W's;L's;Win %;Season
Oklahoma City;52;1;0;1;0;0;3;140;2.0;17;1.543;1.6;0.6;.231;44;28;.611;2019-2020
Sacramento;52;0;2;0;0;1;2;140;-2.0;24;1.582;1.6;0.5;.177;31;41;.431;2019-2020
Boston;49;1;4;0;0;2;3;149;6.3;28;1.557;1.7;0.6;.207;48;24;.667;2019-2020
Charlotte;48;0;2;0;0;0;0;138;-6.8;14;1.639;1.6;0.5;.188;23;42;.354;2019-2020
San Antonio;42;0;1;0;0;1;3;145;-1.1;23;1.585;2.0;0.6;.212;32;39;.451;2019-2020
Washington;37;1;10;0;0;5;0;158;-4.7;33;1.602;1.8;0.6;.213;25;47;.347;2019-2020
Golden State;37;2;1;0;0;4;0;134;-8.7;34;1.663;1.7;0.6;.212;15;50;.231;2019-2020
Chicago;32;0;6;0;0;4;1;136;-3.1;17;1.587;1.5;0.6;.175;22;43;.338;2019-2020
New Orleans;133;11;8;3;0;4;9;149;-1.3;13;1.619;1.8;0.5;.193;33;49;.402;2018-2019
Oklahoma City;127;40;12;3;2;12;3;148;3.4;51;1.548;1.7;0.7;.190;49;33;.598;2018-2019
Houston;118;12;28;5;0;14;1;149;4.8;30;1.541;1.6;0.6;.221;53;29;.646;2018-2019
Philadelphia;116;13;5;4;0;3;2;149;2.7;30;1.648;1.8;0.5;.241;51;31;.622;2018-2019
Utah;109;3;3;3;0;4;6;147;5.3;36;1.644;1.7;0.5;.217;50;32;.610;2018-2019
Minnesota;98;3;5;8;0;5;3;136;-1.5;37;1.591;1.9;0.6;.210;36;46;.439;2018-2019
Denver;97;12;3;2;0;6;0;138;4.0;23;1.653;2.0;0.6;.175;54;28;.659;2018-2019
Atlanta;95;2;1;1;0;2;2;161;-6.0;34;1.624;1.5;0.5;.192;29;53;.354;2018-2019
L.A. Lakers;95;14;4;1;0;7;6;142;-1.7;24;1.600;1.6;0.5;.180;37;45;.451;2018-2019
Detroit;90;11;3;18;0;3;7;133;-0.2;45;1.579;1.6;0.5;.195;41;41;.500;2018-2019
Orlando;90;1;0;2;0;0;3;149;0.7;21;1.632;1.9;0.5;.168;42;40;.512;2018-2019
Toronto;88;4;3;0;0;5;2;140;6.1;30;1.603;1.8;0.6;.198;58;24;.707;2018-2019
Milwaukee;87;9;6;1;0;4;8;148;8.9;25;1.601;1.9;0.5;.197;60;22;.732;2018-2019
New York;83;4;0;3;0;3;6;136;-9.2;13;1.525;1.4;0.5;.205;17;65;.207;2018-2019
Portland;82;6;8;1;0;3;5;148;4.2;26;1.544;1.7;0.5;.210;53;29;.646;2018-2019
Indiana;79;9;0;0;0;7;11;136;3.3;17;1.628;1.9;0.6;.182;48;34;.585;2018-2019
Sacramento;78;1;0;0;0;5;2;146;-1.1;26;1.588;1.9;0.6;.177;39;43;.476;2018-2019
Dallas;77;10;0;6;0;0;2;140;-1.3;36;1.603;1.6;0.5;.216;33;49;.402;2018-2019
Washington;75;3;6;0;0;6;0;149;-2.9;44;1.623;1.9;0.6;.204;32;50;.390;2018-2019
Miami;73;4;0;6;0;4;3;126;-0.2;27;1.612;1.6;0.5;.172;39;43;.476;2018-2019
Phoenix;72;2;6;0;0;5;2;146;-9.3;53;1.595;1.5;0.6;.202;19;63;.232;2018-2019
Memphis;68;6;1;2;0;3;5;132;-2.6;26;1.631;1.7;0.6;.210;33;49;.402;2018-2019
Cleveland;62;0;1;2;0;0;0;139;-9.6;14;1.532;1.5;0.5;.187;19;63;.232;2018-2019
San Antonio;61;2;2;0;0;2;4;154;1.7;19;1.580;2.0;0.5;.194;48;34;.585;2018-2019
