Team;Total MIN;EFG%;FTA RATE;TOV%;OREB%;OPP EFG%;OPP FTA RATE;OPP TOV%;OPP OREB%;Season
Houston;3951;55.1;0.298;14.1;25.4;52.1;0.229;14.8;25.0;2017-2018
Toronto;3966;53.9;0.250;13.5;27.4;50.1;0.277;14.5;27.5;2017-2018
Golden State;3946;56.9;0.239;15.3;24.3;50.4;0.245;14.2;28.8;2017-2018
Boston;3961;51.8;0.243;14.4;26.3;49.5;0.251;14.5;26.1;2017-2018
Philadelphia;3956;53.5;0.263;16.3;28.6;49.2;0.293;14.1;26.4;2017-2018
Cleveland;3946;54.7;0.275;13.9;24.3;54.0;0.219;13.6;27.0;2017-2018
Portland;3951;51.1;0.240;13.9;27.9;50.3;0.256;13.0;25.4;2017-2018
Indiana;3951;52.5;0.222;13.6;27.1;52.7;0.230;16.0;27.9;2017-2018
New Orleans;3991;54.1;0.237;14.5;24.0;51.3;0.223;14.1;27.4;2017-2018
Oklahoma City;3966;51.4;0.275;14.3;32.0;52.5;0.252;16.3;27.5;2017-2018
Utah;3951;52.7;0.260;15.2;25.6;50.6;0.247;15.4;24.4;2017-2018
Minnesota;3961;52.3;0.280;12.8;28.9;53.9;0.242;15.5;28.0;2017-2018
San Antonio;3946;50.7;0.245;13.7;27.7;50.7;0.224;14.7;25.9;2017-2018
Denver;3976;53.6;0.258;15.1;30.0;53.9;0.235;14.0;26.4;2017-2018
Miami;3986;52.0;0.229;14.8;26.1;50.7;0.274;14.5;25.9;2017-2018
Milwaukee  ;3966;53.1;0.281;14.2;24.4;52.8;0.281;15.9;29.1;2017-2018
Washington;3971;52.5;0.254;14.8;27.4;52.2;0.279;15.1;26.8;2017-2018
L.A. Clippers;3941;52.7;0.299;14.7;28.4;52.0;0.259;14.1;28.2;2017-2018
Detroit;3961;51.2;0.227;13.8;26.9;52.4;0.222;15.2;26.0;2017-2018
Charlotte;3956;50.8;0.312;12.8;27.1;53.2;0.208;13.7;23.7;2017-2018
L.A. Lakers;3981;51.7;0.264;15.5;27.9;51.4;0.250;14.0;27.1;2017-2018
New York;3966;51.0;0.216;15.0;28.9;52.2;0.269;13.5;27.3;2017-2018
Brooklyn;3971;51.4;0.260;15.1;25.1;51.7;0.262;12.3;26.9;2017-2018
Chicago;3971;49.7;0.216;14.1;25.6;54.2;0.233;13.6;23.3;2017-2018
Sacramento;3951;50.2;0.194;14.3;26.4;54.2;0.260;14.9;26.9;2017-2018
Orlando;3946;51.2;0.238;14.7;24.8;52.5;0.243;14.4;28.6;2017-2018
Atlanta ;3941;51.2;0.236;15.7;26.3;53.6;0.237;15.3;28.1;2017-2018
Dallas;3961;51.3;0.217;12.7;22.4;53.2;0.255;14.1;25.1;2017-2018
Memphis;3941;50.0;0.255;15.6;27.6;52.9;0.333;15.4;27.9;2017-2018
Phoenix;3941;49.5;0.275;15.5;27.1;53.3;0.277;13.2;27.6;2017-2018
Golden State;3956;56.3;0.259;14.6;27.2;48.6;0.261;15.4;29.1;2016-2017
San Antonio;3961;52.4;0.263;14.1;28.2;49.2;0.249;15.1;27.0;2016-2017
Houston;3956;54.5;0.304;15.0;28.1;51.9;0.250;14.9;28.3;2016-2017
Boston;3951;52.5;0.273;13.6;25.9;50.3;0.290;14.3;29.5;2016-2017
Cleveland;3976;54.7;0.275;14.0;26.4;51.6;0.226;12.9;27.8;2016-2017
L.A. Clippers;3951;53.7;0.312;13.3;25.6;50.6;0.274;13.6;26.7;2016-2017
Toronto;3956;51.7;0.293;13.2;29.1;50.7;0.286;15.3;28.3;2016-2017
Utah;3951;52.6;0.288;14.8;27.0;49.3;0.253;13.1;25.7;2016-2017
Washington;3971;52.8;0.254;14.3;28.6;52.4;0.284;15.5;28.4;2016-2017
Oklahoma City;3961;50.0;0.295;15.2;32.3;51.1;0.285;13.9;25.8;2016-2017
Atlanta ;3976;50.4;0.295;16.0;28.2;50.7;0.232;15.6;28.3;2016-2017
Memphis;3981;49.1;0.280;13.7;29.5;50.6;0.341;15.2;26.9;2016-2017
Indiana;3971;51.6;0.261;14.1;25.5;51.2;0.286;15.3;28.7;2016-2017
Milwaukee  ;3956;52.7;0.274;14.6;26.0;51.8;0.279;15.4;29.4;2016-2017
Chicago;3956;48.7;0.259;14.0;31.1;50.7;0.219;13.9;26.7;2016-2017
Miami;3956;51.2;0.251;14.0;28.4;49.6;0.281;14.2;28.2;2016-2017
Portland;3986;52.0;0.275;13.9;26.9;50.8;0.307;13.0;28.0;2016-2017
Denver;3951;53.0;0.276;15.0;31.4;53.2;0.248;12.0;24.7;2016-2017
Detroit;3961;49.2;0.218;12.3;28.6;51.6;0.253;13.3;22.5;2016-2017
Charlotte;3966;50.1;0.279;11.9;24.7;52.3;0.211;13.5;25.1;2016-2017
New Orleans;3981;50.4;0.256;12.9;22.8;50.9;0.232;14.0;27.2;2016-2017
Dallas;3956;50.5;0.225;12.7;21.6;52.9;0.282;16.0;26.7;2016-2017
Sacramento;3976;51.6;0.284;15.2;25.8;52.8;0.291;14.5;27.7;2016-2017
Minnesota;3961;51.1;0.287;14.6;30.9;53.5;0.275;14.8;29.0;2016-2017
New York;3971;49.6;0.239;14.3;30.5;51.1;0.278;13.3;30.2;2016-2017
Orlando;3961;48.9;0.246;13.7;26.7;52.3;0.263;13.4;27.4;2016-2017
Philadelphia;3966;50.1;0.258;16.7;27.3;51.2;0.303;15.1;29.1;2016-2017
L.A. Lakers;3941;50.1;0.259;15.3;28.4;54.2;0.279;14.6;28.3;2016-2017
Phoenix;3966;49.3;0.297;15.2;29.9;52.5;0.338;14.6;28.2;2016-2017
Brooklyn;3951;50.7;0.289;16.2;24.1;51.3;0.275;13.0;28.4;2016-2017
Golden State;3976;56.3;0.250;15.0;26.7;47.9;0.275;14.3;28.0;2015-2016
San Antonio;3941;52.6;0.246;13.8;26.6;47.7;0.240;15.7;25.4;2015-2016
Cleveland;3971;52.4;0.259;14.3;29.4;49.6;0.275;14.1;25.8;2015-2016
Toronto;3956;50.4;0.328;13.9;30.0;49.8;0.269;14.2;26.4;2015-2016
Oklahoma City;3966;52.4;0.292;16.2;34.7;48.4;0.271;13.3;28.0;2015-2016
L.A. Clippers;3966;52.4;0.318;13.3;23.4;48.0;0.296;15.7;30.3;2015-2016
Atlanta ;3966;51.6;0.237;15.2;23.4;48.0;0.256;16.4;30.2;2015-2016
Boston;3956;48.8;0.264;13.8;29.0;48.7;0.306;16.4;29.3;2015-2016
Charlotte;3971;50.2;0.280;12.9;24.4;49.6;0.249;13.8;24.6;2015-2016
Miami;3966;50.8;0.282;14.8;28.0;48.5;0.255;13.6;27.1;2015-2016
Indiana;3976;49.7;0.268;15.1;27.1;48.9;0.273;16.1;28.6;2015-2016
Detroit;3976;49.1;0.296;14.0;31.3;50.4;0.250;13.9;24.7;2015-2016
Portland;3961;51.1;0.268;15.0;29.4;50.3;0.307;13.6;27.2;2015-2016
Chicago;3981;48.7;0.240;14.2;29.0;48.5;0.247;12.2;28.6;2015-2016
Dallas;4001;50.2;0.265;13.2;24.1;50.4;0.269;14.4;27.7;2015-2016
Memphis;3966;47.7;0.295;14.0;29.8;51.8;0.326;17.1;29.1;2015-2016
Houston;3966;51.6;0.352;16.1;29.7;51.6;0.289;16.8;30.8;2015-2016
Washington;3951;51.1;0.263;14.5;25.0;51.5;0.283;16.2;26.3;2015-2016
Utah;3991;50.1;0.286;16.1;30.3;49.5;0.281;15.0;26.9;2015-2016
Orlando;3981;50.0;0.232;14.4;27.1;51.3;0.288;15.5;27.4;2015-2016
Denver;3966;48.9;0.282;15.1;30.4;51.5;0.284;14.1;26.8;2015-2016
Milwaukee  ;3966;49.9;0.276;15.9;28.6;51.0;0.288;16.2;31.1;2015-2016
Sacramento;3961;51.0;0.295;16.0;28.1;52.1;0.264;15.7;28.3;2015-2016
New York;3961;48.3;0.255;14.2;28.0;48.7;0.271;11.9;28.2;2015-2016
New Orleans;3956;49.8;0.259;13.7;25.2;52.3;0.287;14.0;25.2;2015-2016
Minnesota;3976;49.8;0.332;15.5;27.9;52.4;0.265;15.3;29.8;2015-2016
Phoenix;3941;48.7;0.271;17.3;29.7;52.3;0.317;15.0;26.7;2015-2016
Brooklyn;3951;49.2;0.246;15.3;27.9;53.4;0.230;14.7;28.4;2015-2016
L.A. Lakers;3946;46.0;0.292;14.2;27.1;52.3;0.277;13.1;28.8;2015-2016
Philadelphia;3961;48.7;0.269;16.5;25.0;51.0;0.306;15.3;30.7;2015-2016
Golden State;3946;54.0;0.239;14.5;27.3;47.0;0.284;16.3;29.7;2014-2015
Atlanta ;3946;52.7;0.259;15.0;26.4;49.2;0.242;16.9;30.3;2014-2015
Houston;3961;51.2;0.312;17.0;30.5;48.6;0.277;16.7;31.4;2014-2015
L.A. Clippers;3946;53.3;0.303;12.9;27.2;49.3;0.312;14.9;28.4;2014-2015
Memphis;3981;48.9;0.276;14.2;28.8;49.2;0.247;16.3;28.4;2014-2015
San Antonio;3991;51.7;0.256;14.6;27.2;48.4;0.256;14.9;27.0;2014-2015
Cleveland;3956;52.0;0.287;15.2;31.1;50.2;0.238;14.2;28.9;2014-2015
Portland;3971;50.8;0.225;14.2;28.2;47.6;0.240;12.7;27.2;2014-2015
Chicago;3976;48.9;0.304;14.7;31.2;47.3;0.242;12.9;29.1;2014-2015
Dallas;3976;51.5;0.262;13.3;26.9;50.3;0.271;16.7;31.9;2014-2015
Toronto;3971;50.8;0.295;13.7;30.1;50.6;0.283;15.3;31.1;2014-2015
Washington;3991;49.9;0.259;15.7;28.8;48.1;0.284;14.6;27.4;2014-2015
New Orleans;3956;50.1;0.263;14.3;30.9;49.6;0.257;13.2;28.8;2014-2015
Oklahoma City;3966;49.2;0.284;15.1;31.8;48.9;0.286;14.0;27.0;2014-2015
Milwaukee  ;3986;49.9;0.258;17.5;29.0;48.7;0.298;18.1;31.4;2014-2015
Boston;3976;48.9;0.233;14.2;28.9;49.4;0.275;15.5;29.0;2014-2015
Phoenix;3976;50.1;0.251;15.4;28.1;49.7;0.291;15.9;30.2;2014-2015
Brooklyn;3986;49.1;0.267;14.6;27.8;50.6;0.253;14.6;29.9;2014-2015
Indiana;3971;48.4;0.266;14.8;28.6;47.8;0.288;13.5;26.5;2014-2015
Utah;3941;49.4;0.297;16.8;33.2;49.1;0.267;14.4;28.5;2014-2015
Miami;3946;50.0;0.306;16.1;28.4;50.5;0.292;16.2;31.3;2014-2015
Charlotte;3981;45.6;0.269;12.6;27.0;48.7;0.244;13.3;25.4;2014-2015
Detroit;3966;48.2;0.261;14.2;31.6;50.2;0.249;14.8;28.8;2014-2015
Denver;3976;47.9;0.278;14.6;30.3;50.4;0.320;14.6;30.0;2014-2015
Sacramento;3971;49.0;0.363;16.8;31.3;50.7;0.268;13.3;28.5;2014-2015
Orlando;3951;49.4;0.230;15.7;26.9;51.4;0.279;15.2;28.4;2014-2015
L.A. Lakers;3986;47.3;0.276;13.8;29.0;51.8;0.311;13.5;28.0;2014-2015
Philadelphia;3961;45.9;0.288;18.3;29.3;49.7;0.298;17.2;31.4;2014-2015
New York;3971;47.0;0.234;15.8;28.9;51.2;0.308;15.1;30.9;2014-2015
